natural_text,bayan_code,logic_explanation,lang,entities,actions,states,split,id
سارة في البيت يقوم بفعل 'اعتذار' مع مريم,سارة.اعتذار(مريم); مريم.غضب -= 0.2; مريم.ثقة += 0.1,الاعتذار يقلل الغضب ويزيد الثقة قليلًا,ar,"[""سارة"", ""مريم""]","[""اعتذار""]","[""غضب"", ""ثقة""]",train,ex043
Sarah at school performs 'advise' with Maryam,Sarah.advise(Maryam); Maryam.focus += 0.2,Advice to stay calm improves focus,en,"[""Sarah"", ""Maryam""]","[""advise""]","[""focus""]",train,ex044
في السوق: طبيب يقوم بـطمأنة لـ مريض,طبيب.طمأنة(مريض); مريض.خوف -= 0.25,الطمأنة تقلل الخوف,ar,"[""طبيب"", ""مريض""]","[""طمأنة""]","[""خوف""]",train,ex045
Sarah at the market performs 'encourage' with Maryam,Sarah.encourage(Maryam); Maryam.trust += 0.25,Encouragement increases trust,en,"[""Sarah"", ""Maryam""]","[""encourage""]","[""trust""]",train,ex046
علي في المستشفى يقوم بفعل 'مواساة' مع محمد,علي.مواساة(محمد); محمد.حزن -= 0.3,المواساة تقلل الحزن,ar,"[""علي"", ""محمد""]","[""مواساة""]","[""حزن""]",train,ex047
in the park: cool on Object,Object.cool(); Object.temperature -= 0.3,Cooling lowers temperature,en,"[""Object""]","[""cool""]","[""temperature""]",train,ex048
خالد في البيت يقوم بفعل 'تقديم_وجبة' مع سارة,خالد.تقديم_وجبة(سارة); سارة.جوع -= 0.4; سارة.امتنان += 0.3,الطعام يقلل الجوع ويزيد الامتنان,ar,"[""خالد"", ""سارة""]","[""تقديم_وجبة""]","[""جوع"", ""امتنان""]",train,ex049
Youssef at home performs 'apologize' with Layla,Youssef.apologize(Layla); Layla.anger -= 0.2; Layla.trust += 0.1,Apology reduces anger and slightly increases trust,en,"[""Youssef"", ""Layla""]","[""apologize""]","[""anger"", ""trust""]",train,ex050
يوسف في البيت يقوم بفعل 'مواساة' مع أحمد,يوسف.مواساة(أحمد); أحمد.حزن -= 0.3,المواساة تقلل الحزن,ar,"[""يوسف"", ""أحمد""]","[""مواساة""]","[""حزن""]",train,ex051
Youssef at home performs 'apologize' with Ahmed,Youssef.apologize(Ahmed); Ahmed.anger -= 0.2; Ahmed.trust += 0.1,Apology reduces anger and slightly increases trust,en,"[""Youssef"", ""Ahmed""]","[""apologize""]","[""anger"", ""trust""]",train,ex052
في المدرسة: معلّم يقوم بـنصح لـ طالب,معلّم.نصح(طالب); طالب.تركيز += 0.2,النصح يحسن تركيز الطالب,ar,"[""معلّم"", ""طالب""]","[""نصح""]","[""تركيز""]",train,ex053
at home: heat on Water,Water.heat(); Water.temperature += 0.3; Water.energy -= 0.05,Heating raises temperature,en,"[""Water""]","[""heat""]","[""temperature"", ""energy""]",train,ex054
يوسف في الحديقة يقوم بفعل 'تهنئة' مع علي,يوسف.تهنئة(علي); علي.سعادة += 0.2,التهنئة ترفع السعادة,ar,"[""يوسف"", ""علي""]","[""تهنئة""]","[""سعادة""]",train,ex055
Ali at the hospital performs 'advise' with Sarah,Ali.advise(Sarah); Sarah.focus += 0.2,Advice to stay calm improves focus,en,"[""Ali"", ""Sarah""]","[""advise""]","[""focus""]",train,ex056
في البيت: تبريد على ماء,ماء.تبريد(); ماء.حرارة -= 0.3,التبريد يخفض الحرارة,ar,"[""ماء""]","[""تبريد""]","[""حرارة""]",train,ex057
Ahmed in the park performs 'encourage' with Youssef,Ahmed.encourage(Youssef); Youssef.trust += 0.25,Encouragement increases trust,en,"[""Ahmed"", ""Youssef""]","[""encourage""]","[""trust""]",train,ex058
يوسف في المستشفى يقوم بفعل 'نصح' مع خالد,يوسف.نصح(خالد); خالد.تركيز += 0.2,النصح بالهدوء يحسن التركيز,ar,"[""يوسف"", ""خالد""]","[""نصح""]","[""تركيز""]",train,ex059
at work: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex060
أحمد في العمل يقوم بفعل 'اعتذار' مع يوسف,أحمد.اعتذار(يوسف); يوسف.غضب -= 0.2; يوسف.ثقة += 0.1,الاعتذار يقلل الغضب ويزيد الثقة قليلًا,ar,"[""أحمد"", ""يوسف""]","[""اعتذار""]","[""غضب"", ""ثقة""]",train,ex061
at school: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex062
محمد في البيت يقوم بفعل 'مواساة' مع يوسف,محمد.مواساة(يوسف); يوسف.حزن -= 0.3,المواساة تقلل الحزن,ar,"[""محمد"", ""يوسف""]","[""مواساة""]","[""حزن""]",train,ex063
Khaled at home performs 'encourage' with Ahmed,Khaled.encourage(Ahmed); Ahmed.trust += 0.25,Encouragement increases trust,en,"[""Khaled"", ""Ahmed""]","[""encourage""]","[""trust""]",train,ex064
ليلى في السوق يقوم بفعل 'نصح' مع سارة,ليلى.نصح(سارة); سارة.تركيز += 0.2,النصح بالهدوء يحسن التركيز,ar,"[""ليلى"", ""سارة""]","[""نصح""]","[""تركيز""]",train,ex065
Layla at home performs 'encourage' with Youssef,Layla.encourage(Youssef); Youssef.trust += 0.25,Encouragement increases trust,en,"[""Layla"", ""Youssef""]","[""encourage""]","[""trust""]",train,ex066
في البيت: دفع على ماء,ماء.دفع(); ماء.سرعة += 0.2; ماء.طاقة -= 0.05,الدفع يزيد السرعة وفق القوة والكتلة,ar,"[""ماء""]","[""دفع""]","[""سرعة"", ""طاقة""]",train,ex067
Ahmed at the market performs 'serve_meal' with Ali,Ahmed.serve_meal(Ali); Ali.hunger -= 0.4; Ali.gratitude += 0.3,Serving food reduces hunger and increases gratitude,en,"[""Ahmed"", ""Ali""]","[""serve_meal""]","[""hunger"", ""gratitude""]",train,ex068
في الحديقة: مدرب يقوم بـتشجيع لـ عدّاء,مدرب.تشجيع(عدّاء); عدّاء.سرعة += 0.2,التشجيع يرفع سرعة العدّاء,ar,"[""مدرب"", ""عدّاء""]","[""تشجيع""]","[""سرعة""]",train,ex069
in the park: Coach performs encourage for Runner,Coach.encourage(Runner); Runner.speed += 0.2,Encouragement increases runner speed,en,"[""Coach"", ""Runner""]","[""encourage""]","[""speed""]",train,ex070
أحمد في المستشفى يقوم بفعل 'مواساة' مع فاطمة,أحمد.مواساة(فاطمة); فاطمة.حزن -= 0.3,المواساة تقلل الحزن,ar,"[""أحمد"", ""فاطمة""]","[""مواساة""]","[""حزن""]",train,ex071
at work: Coach performs encourage for Runner,Coach.encourage(Runner); Runner.speed += 0.2,Encouragement increases runner speed,en,"[""Coach"", ""Runner""]","[""encourage""]","[""speed""]",train,ex072
في المستشفى: سحب على جسم,جسم.سحب(); جسم.سرعة += 0.1; جسم.طاقة -= 0.05,السحب يغير السرعة وقد يقلل الطاقة,ar,"[""جسم""]","[""سحب""]","[""سرعة"", ""طاقة""]",train,ex073
at work: push on Box,Box.push(); Box.speed += 0.2; Box.energy -= 0.05,Pushing increases speed based on force and mass,en,"[""Box""]","[""push""]","[""speed"", ""energy""]",train,ex074
في البيت: مدرب يقوم بـتشجيع لـ عدّاء,مدرب.تشجيع(عدّاء); عدّاء.سرعة += 0.2,التشجيع يرفع سرعة العدّاء,ar,"[""مدرب"", ""عدّاء""]","[""تشجيع""]","[""سرعة""]",train,ex075
at the market: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex076
ليلى في العمل يقوم بفعل 'اعتذار' مع خالد,ليلى.اعتذار(خالد); خالد.غضب -= 0.2; خالد.ثقة += 0.1,الاعتذار يقلل الغضب ويزيد الثقة قليلًا,ar,"[""ليلى"", ""خالد""]","[""اعتذار""]","[""غضب"", ""ثقة""]",train,ex077
at the hospital: push on MetalBall,MetalBall.push(); MetalBall.speed += 0.2; MetalBall.energy -= 0.05,Pushing increases speed based on force and mass,en,"[""MetalBall""]","[""push""]","[""speed"", ""energy""]",train,ex078
في العمل: دفع على ماء,ماء.دفع(); ماء.سرعة += 0.2; ماء.طاقة -= 0.05,الدفع يزيد السرعة وفق القوة والكتلة,ar,"[""ماء""]","[""دفع""]","[""سرعة"", ""طاقة""]",train,ex079
Ahmed in the park performs 'apologize' with Maryam,Ahmed.apologize(Maryam); Maryam.anger -= 0.2; Maryam.trust += 0.1,Apology reduces anger and slightly increases trust,en,"[""Ahmed"", ""Maryam""]","[""apologize""]","[""anger"", ""trust""]",train,ex080
يوسف في المستشفى يقوم بفعل 'تهنئة' مع فاطمة,يوسف.تهنئة(فاطمة); فاطمة.سعادة += 0.2,التهنئة ترفع السعادة,ar,"[""يوسف"", ""فاطمة""]","[""تهنئة""]","[""سعادة""]",train,ex081
Mohammed in the park performs 'serve_meal' with Sarah,Mohammed.serve_meal(Sarah); Sarah.hunger -= 0.4; Sarah.gratitude += 0.3,Serving food reduces hunger and increases gratitude,en,"[""Mohammed"", ""Sarah""]","[""serve_meal""]","[""hunger"", ""gratitude""]",train,ex082
في الحديقة: معلّم يقوم بـنصح لـ طالب,معلّم.نصح(طالب); طالب.تركيز += 0.2,النصح يحسن تركيز الطالب,ar,"[""معلّم"", ""طالب""]","[""نصح""]","[""تركيز""]",train,ex083
at work: push on Car,Car.push(); Car.speed += 0.2; Car.energy -= 0.05,Pushing increases speed based on force and mass,en,"[""Car""]","[""push""]","[""speed"", ""energy""]",train,ex084
في السوق: مدرب يقوم بـتشجيع لـ عدّاء,مدرب.تشجيع(عدّاء); عدّاء.سرعة += 0.2,التشجيع يرفع سرعة العدّاء,ar,"[""مدرب"", ""عدّاء""]","[""تشجيع""]","[""سرعة""]",train,ex085
at home: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex086
في المدرسة: تسخين على كرة_معدنية,كرة_معدنية.تسخين(); كرة_معدنية.حرارة += 0.3; كرة_معدنية.طاقة -= 0.05,التسخين يرفع الحرارة,ar,"[""كرة_معدنية""]","[""تسخين""]","[""حرارة"", ""طاقة""]",train,ex087
Ali at home performs 'serve_meal' with Layla,Ali.serve_meal(Layla); Layla.hunger -= 0.4; Layla.gratitude += 0.3,Serving food reduces hunger and increases gratitude,en,"[""Ali"", ""Layla""]","[""serve_meal""]","[""hunger"", ""gratitude""]",train,ex088
في المدرسة: معلّم يقوم بـنصح لـ طالب,معلّم.نصح(طالب); طالب.تركيز += 0.2,النصح يحسن تركيز الطالب,ar,"[""معلّم"", ""طالب""]","[""نصح""]","[""تركيز""]",train,ex089
Youssef at home performs 'congratulate' with Layla,Youssef.congratulate(Layla); Layla.happiness += 0.2,Congratulations increase happiness,en,"[""Youssef"", ""Layla""]","[""congratulate""]","[""happiness""]",train,ex090
خالد في الحديقة يقوم بفعل 'مواساة' مع يوسف,خالد.مواساة(يوسف); يوسف.حزن -= 0.3,المواساة تقلل الحزن,ar,"[""خالد"", ""يوسف""]","[""مواساة""]","[""حزن""]",train,ex091
Ali at work performs 'apologize' with Maryam,Ali.apologize(Maryam); Maryam.anger -= 0.2; Maryam.trust += 0.1,Apology reduces anger and slightly increases trust,en,"[""Ali"", ""Maryam""]","[""apologize""]","[""anger"", ""trust""]",train,ex092
في البيت: تبريد على صندوق,صندوق.تبريد(); صندوق.حرارة -= 0.3,التبريد يخفض الحرارة,ar,"[""صندوق""]","[""تبريد""]","[""حرارة""]",train,ex093
at the market: accelerate on MetalBall,MetalBall.accelerate(); MetalBall.speed += 0.25,Acceleration raises speed,en,"[""MetalBall""]","[""accelerate""]","[""speed""]",train,ex094
ليلى في السوق يقوم بفعل 'تقديم_وجبة' مع سارة,ليلى.تقديم_وجبة(سارة); سارة.جوع -= 0.4; سارة.امتنان += 0.3,الطعام يقلل الجوع ويزيد الامتنان,ar,"[""ليلى"", ""سارة""]","[""تقديم_وجبة""]","[""جوع"", ""امتنان""]",train,ex095
Noor at work performs 'advise' with Sarah,Noor.advise(Sarah); Sarah.focus += 0.2,Advice to stay calm improves focus,en,"[""Noor"", ""Sarah""]","[""advise""]","[""focus""]",train,ex096
فاطمة في المدرسة يقوم بفعل 'تشجيع' مع يوسف,فاطمة.تشجيع(يوسف); يوسف.ثقة += 0.25,التشجيع يرفع الثقة,ar,"[""فاطمة"", ""يوسف""]","[""تشجيع""]","[""ثقة""]",train,ex097
at the market: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",train,ex098
في البيت: مدرب يقوم بـتشجيع لـ عدّاء,مدرب.تشجيع(عدّاء); عدّاء.سرعة += 0.2,التشجيع يرفع سرعة العدّاء,ar,"[""مدرب"", ""عدّاء""]","[""تشجيع""]","[""سرعة""]",train,ex099
Sarah at the market performs 'encourage' with Layla,Sarah.encourage(Layla); Layla.trust += 0.25,Encouragement increases trust,en,"[""Sarah"", ""Layla""]","[""encourage""]","[""trust""]",train,ex100
في الحديقة: تسريع على ماء,ماء.تسريع(); ماء.سرعة += 0.25,التسريع يرفع السرعة,ar,"[""ماء""]","[""تسريع""]","[""سرعة""]",train,ex101
at work: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",train,ex102
في المستشفى: تسريع على كرة,كرة.تسريع(); كرة.سرعة += 0.25,التسريع يرفع السرعة,ar,"[""كرة""]","[""تسريع""]","[""سرعة""]",train,ex103
at the hospital: Coach performs encourage for Runner,Coach.encourage(Runner); Runner.speed += 0.2,Encouragement increases runner speed,en,"[""Coach"", ""Runner""]","[""encourage""]","[""speed""]",train,ex104
يوسف في المستشفى يقوم بفعل 'اعتذار' مع نور,يوسف.اعتذار(نور); نور.غضب -= 0.2; نور.ثقة += 0.1,الاعتذار يقلل الغضب ويزيد الثقة قليلًا,ar,"[""يوسف"", ""نور""]","[""اعتذار""]","[""غضب"", ""ثقة""]",train,ex105
in the park: cool on MetalBall,MetalBall.cool(); MetalBall.temperature -= 0.3,Cooling lowers temperature,en,"[""MetalBall""]","[""cool""]","[""temperature""]",train,ex106
نور في المدرسة يقوم بفعل 'تقديم_وجبة' مع فاطمة,نور.تقديم_وجبة(فاطمة); فاطمة.جوع -= 0.4; فاطمة.امتنان += 0.3,الطعام يقلل الجوع ويزيد الامتنان,ar,"[""نور"", ""فاطمة""]","[""تقديم_وجبة""]","[""جوع"", ""امتنان""]",train,ex107
at the hospital: Teacher performs advise for Student,Teacher.advise(Student); Student.focus += 0.2,Advice improves student focus,en,"[""Teacher"", ""Student""]","[""advise""]","[""focus""]",train,ex108
يوسف في الحديقة يقوم بفعل 'تشجيع' مع سارة,يوسف.تشجيع(سارة); سارة.ثقة += 0.25,التشجيع يرفع الثقة,ar,"[""يوسف"", ""سارة""]","[""تشجيع""]","[""ثقة""]",train,ex109
at home: heat on Car,Car.heat(); Car.temperature += 0.3; Car.energy -= 0.05,Heating raises temperature,en,"[""Car""]","[""heat""]","[""temperature"", ""energy""]",train,ex110
علي في البيت يقوم بفعل 'تشجيع' مع فاطمة,علي.تشجيع(فاطمة); فاطمة.ثقة += 0.25,التشجيع يرفع الثقة,ar,"[""علي"", ""فاطمة""]","[""تشجيع""]","[""ثقة""]",train,ex111
at work: Doctor performs reassure for Patient,Doctor.reassure(Patient); Patient.fear -= 0.25,Reassurance reduces fear,en,"[""Doctor"", ""Patient""]","[""reassure""]","[""fear""]",train,ex112
ليلى في البيت يقوم بفعل 'تهنئة' مع فاطمة,ليلى.تهنئة(فاطمة); فاطمة.سعادة += 0.2,التهنئة ترفع السعادة,ar,"[""ليلى"", ""فاطمة""]","[""تهنئة""]","[""سعادة""]",train,ex113
Maryam at the hospital performs 'encourage' with Fatimah,Maryam.encourage(Fatimah); Fatimah.trust += 0.25,Encouragement increases trust,en,"[""Maryam"", ""Fatimah""]","[""encourage""]","[""trust""]",train,ex114
في السوق: سحب على كرة,كرة.سحب(); كرة.سرعة += 0.1; كرة.طاقة -= 0.05,السحب يغير السرعة وقد يقلل الطاقة,ar,"[""كرة""]","[""سحب""]","[""سرعة"", ""طاقة""]",train,ex115
in the park: Coach performs encourage for Runner,Coach.encourage(Runner); Runner.speed += 0.2,Encouragement increases runner speed,en,"[""Coach"", ""Runner""]","[""encourage""]","[""speed""]",train,ex116
في الحديقة: طبيب يقوم بـطمأنة لـ مريض,طبيب.طمأنة(مريض); مريض.خوف -= 0.25,الطمأنة تقلل الخوف,ar,"[""طبيب"", ""مريض""]","[""طمأنة""]","[""خوف""]",train,ex117
Khaled in the park performs 'comfort' with Sarah,Khaled.comfort(Sarah); Sarah.sadness -= 0.3,Comforting reduces sadness,en,"[""Khaled"", ""Sarah""]","[""comfort""]","[""sadness""]",train,ex118
نور في العمل يقوم بفعل 'تهنئة' مع مريم,نور.تهنئة(مريم); مريم.سعادة += 0.2,التهنئة ترفع السعادة,ar,"[""نور"", ""مريم""]","[""تهنئة""]","[""سعادة""]",train,ex119
at the market: accelerate on Car,Car.accelerate(); Car.speed += 0.25,Acceleration raises speed,en,"[""Car""]","[""accelerate""]","[""speed""]",train,ex120
محمد في المستشفى يقوم بفعل 'تشجيع' مع سارة,محمد.تشجيع(سارة); سارة.ثقة += 0.25,التشجيع يرفع الثقة,ar,"[""محمد"", ""سارة""]","[""تشجيع""]","[""ثقة""]",train,ex121
at the market: pull on Water,Water.pull(); Water.speed += 0.1; Water.energy -= 0.05,Pulling changes speed and may reduce energy,en,"[""Water""]","[""pull""]","[""speed"", ""energy""]",train,ex122
في الحديقة: مدرب يقوم بـتشجيع لـ عدّاء,مدرب.تشجيع(عدّاء); عدّاء.سرعة += 0.2,التشجيع يرفع سرعة العدّاء,ar,"[""مدرب"", ""عدّاء""]","[""تشجيع""]","[""سرعة""]",train,ex123
at the market: pull on Car,Car.pull(); Car.speed += 0.1; Car.energy -= 0.05,Pulling changes speed and may reduce energy,en,"[""Car""]","[""pull""]","[""speed"", ""energy""]",train,ex124
في العمل: دفع على كرة,كرة.دفع(); كرة.سرعة += 0.2; كرة.طاقة -= 0.05,الدفع يزيد السرعة وفق القوة والكتلة,ar,"[""كرة""]","[""دفع""]","[""سرعة"", ""طاقة""]",train,ex125
